Area,CalendarYear,SpeciesGroup,Total
Bribie Island,2017,Shark,1
Bribie Island,2018,Shark,2
Bribie Island,2019,Shark,1
Bribie Island,2020,Shark,1
Bribie Island,2021,Shark,1
Bribie Island,2022,Shark,3
Bribie Island,2023,Shark,1
Bundaberg,2001,Shark,62
Bundaberg,2002,Shark,62
Bundaberg,2003,Shark,50
Bundaberg,2004,Shark,39
Bundaberg,2005,Shark,69
Bundaberg,2006,Shark,49
Bundaberg,2007,Shark,48
Bundaberg,2008,Shark,53
Bundaberg,2009,Shark,30
Bundaberg,2010,Shark,42
Bundaberg,2011,Shark,65
Bundaberg,2012,Shark,56
Bundaberg,2013,Shark,76
Bundaberg,2014,Shark,57
Bundaberg,2015,Shark,45
Bundaberg,2016,Shark,52
Bundaberg,2017,Shark,54
Bundaberg,2018,Shark,53
Bundaberg,2019,Shark,58
Bundaberg,2020,Shark,55
Bundaberg,2021,Shark,73
Bundaberg,2022,Shark,64
Bundaberg,2023,Shark,21
Cairns,2001,Shark,79
Cairns,2002,Shark,46
Cairns,2003,Shark,66
Cairns,2004,Shark,62
Cairns,2005,Shark,66
Cairns,2006,Shark,41
Cairns,2007,Shark,76
Cairns,2008,Shark,55
Cairns,2009,Shark,60
Cairns,2010,Shark,71
Cairns,2011,Shark,91
Cairns,2012,Shark,91
Cairns,2013,Shark,74
Cairns,2014,Shark,71
Cairns,2015,Shark,116
Cairns,2016,Shark,51
Cairns,2017,Shark,47
Cairns,2018,Shark,43
Cairns,2019,Shark,43
Cairns,2020,Shark,62
Cairns,2021,Shark,58
Cairns,2022,Shark,60
Cairns,2023,Shark,20
Capricorn Coast,2001,Shark,87
Capricorn Coast,2002,Shark,91
Capricorn Coast,2003,Shark,66
Capricorn Coast,2004,Shark,80
Capricorn Coast,2005,Shark,84
Capricorn Coast,2006,Shark,68
Capricorn Coast,2007,Shark,81
Capricorn Coast,2008,Shark,69
Capricorn Coast,2009,Shark,60
Capricorn Coast,2010,Shark,65
Capricorn Coast,2011,Shark,66
Capricorn Coast,2012,Shark,105
Capricorn Coast,2013,Shark,116
Capricorn Coast,2014,Shark,66
Capricorn Coast,2015,Shark,71
Capricorn Coast,2016,Shark,54
Capricorn Coast,2017,Shark,41
Capricorn Coast,2018,Shark,43
Capricorn Coast,2019,Shark,38
Capricorn Coast,2020,Shark,50
Capricorn Coast,2021,Shark,144
Capricorn Coast,2022,Shark,178
Capricorn Coast,2023,Shark,115
Gladstone,2001,Shark,32
Gladstone,2002,Shark,18
Gladstone,2003,Shark,30
Gladstone,2004,Shark,51
Gladstone,2005,Shark,40
Gladstone,2006,Shark,54
Gladstone,2007,Shark,49
Gladstone,2008,Shark,52
Gladstone,2009,Shark,63
Gladstone,2010,Shark,57
Gladstone,2011,Shark,76
Gladstone,2012,Shark,67
Gladstone,2013,Shark,59
Gladstone,2014,Shark,50
Gladstone,2015,Shark,46
Gladstone,2016,Shark,52
Gladstone,2017,Shark,45
Gladstone,2018,Shark,36
Gladstone,2019,Shark,42
Gladstone,2020,Shark,29
Gladstone,2021,Shark,34
Gladstone,2022,Shark,47
Gladstone,2023,Shark,26
Gold Coast,2001,Shark,85
Gold Coast,2002,Shark,73
Gold Coast,2003,Shark,75
Gold Coast,2004,Shark,75
Gold Coast,2005,Shark,78
Gold Coast,2006,Shark,38
Gold Coast,2007,Shark,35
Gold Coast,2008,Shark,34
Gold Coast,2009,Shark,37
Gold Coast,2010,Shark,39
Gold Coast,2011,Shark,38
Gold Coast,2012,Shark,49
Gold Coast,2013,Shark,34
Gold Coast,2014,Shark,36
Gold Coast,2015,Shark,47
Gold Coast,2016,Shark,46
Gold Coast,2017,Shark,59
Gold Coast,2018,Shark,49
Gold Coast,2019,Shark,60
Gold Coast,2020,Shark,85
Gold Coast,2021,Shark,84
Gold Coast,2022,Shark,69
Gold Coast,2023,Shark,27
Mackay,2001,Shark,134
Mackay,2002,Shark,94
Mackay,2003,Shark,82
Mackay,2004,Shark,108
Mackay,2005,Shark,75
Mackay,2006,Shark,59
Mackay,2007,Shark,68
Mackay,2008,Shark,73
Mackay,2009,Shark,67
Mackay,2010,Shark,74
Mackay,2011,Shark,52
Mackay,2012,Shark,100
Mackay,2013,Shark,84
Mackay,2014,Shark,110
Mackay,2015,Shark,82
Mackay,2016,Shark,66
Mackay,2017,Shark,55
Mackay,2018,Shark,40
Mackay,2019,Shark,44
Mackay,2020,Shark,68
Mackay,2021,Shark,93
Mackay,2022,Shark,61
Mackay,2023,Shark,25
Nth Stradbroke Is.,2001,Shark,20
Nth Stradbroke Is.,2002,Shark,16
Nth Stradbroke Is.,2003,Shark,8
Nth Stradbroke Is.,2004,Shark,1
Nth Stradbroke Is.,2005,Shark,5
Nth Stradbroke Is.,2006,Shark,23
Nth Stradbroke Is.,2007,Shark,21
Nth Stradbroke Is.,2008,Shark,20
Nth Stradbroke Is.,2009,Shark,26
Nth Stradbroke Is.,2010,Shark,24
Nth Stradbroke Is.,2011,Shark,16
Nth Stradbroke Is.,2012,Shark,17
Nth Stradbroke Is.,2013,Shark,16
Nth Stradbroke Is.,2014,Shark,8
Nth Stradbroke Is.,2015,Shark,22
Nth Stradbroke Is.,2016,Shark,10
Nth Stradbroke Is.,2017,Shark,13
Nth Stradbroke Is.,2018,Shark,23
Nth Stradbroke Is.,2019,Shark,15
Nth Stradbroke Is.,2020,Shark,14
Nth Stradbroke Is.,2021,Shark,24
Nth Stradbroke Is.,2022,Shark,16
Nth Stradbroke Is.,2023,Shark,2
Rainbow Beach,2001,Shark,35
Rainbow Beach,2002,Shark,31
Rainbow Beach,2003,Shark,24
Rainbow Beach,2004,Shark,26
Rainbow Beach,2005,Shark,39
Rainbow Beach,2006,Shark,67
Rainbow Beach,2007,Shark,49
Rainbow Beach,2008,Shark,49
Rainbow Beach,2009,Shark,59
Rainbow Beach,2010,Shark,51
Rainbow Beach,2011,Shark,68
Rainbow Beach,2012,Shark,60
Rainbow Beach,2013,Shark,76
Rainbow Beach,2014,Shark,44
Rainbow Beach,2015,Shark,57
Rainbow Beach,2016,Shark,36
Rainbow Beach,2017,Shark,34
Rainbow Beach,2018,Shark,31
Rainbow Beach,2019,Shark,34
Rainbow Beach,2020,Shark,34
Rainbow Beach,2021,Shark,49
Rainbow Beach,2022,Shark,43
Rainbow Beach,2023,Shark,12
Sunshine Coast North,2001,Shark,76
Sunshine Coast North,2002,Shark,91
Sunshine Coast North,2003,Shark,56
Sunshine Coast North,2004,Shark,39
Sunshine Coast North,2005,Shark,53
Sunshine Coast North,2006,Shark,52
Sunshine Coast North,2007,Shark,39
Sunshine Coast North,2008,Shark,50
Sunshine Coast North,2009,Shark,50
Sunshine Coast North,2010,Shark,37
Sunshine Coast North,2011,Shark,44
Sunshine Coast North,2012,Shark,29
Sunshine Coast North,2013,Shark,28
Sunshine Coast North,2014,Shark,33
Sunshine Coast North,2015,Shark,48
Sunshine Coast North,2016,Shark,39
Sunshine Coast North,2017,Shark,39
Sunshine Coast North,2018,Shark,73
Sunshine Coast North,2019,Shark,56
Sunshine Coast North,2020,Shark,58
Sunshine Coast North,2021,Shark,63
Sunshine Coast North,2022,Shark,60
Sunshine Coast North,2023,Shark,43
Sunshine Coast South,2017,Shark,7
Sunshine Coast South,2018,Shark,18
Sunshine Coast South,2019,Shark,13
Sunshine Coast South,2020,Shark,9
Sunshine Coast South,2021,Shark,25
Sunshine Coast South,2022,Shark,24
Sunshine Coast South,2023,Shark,20
Sunshine Coast South & Bribie Island,2001,Shark,35
Sunshine Coast South & Bribie Island,2002,Shark,40
Sunshine Coast South & Bribie Island,2003,Shark,35
Sunshine Coast South & Bribie Island,2004,Shark,24
Sunshine Coast South & Bribie Island,2005,Shark,21
Sunshine Coast South & Bribie Island,2006,Shark,36
Sunshine Coast South & Bribie Island,2007,Shark,16
Sunshine Coast South & Bribie Island,2008,Shark,31
Sunshine Coast South & Bribie Island,2009,Shark,19
Sunshine Coast South & Bribie Island,2010,Shark,22
Sunshine Coast South & Bribie Island,2011,Shark,20
Sunshine Coast South & Bribie Island,2012,Shark,21
Sunshine Coast South & Bribie Island,2013,Shark,15
Sunshine Coast South & Bribie Island,2014,Shark,10
Sunshine Coast South & Bribie Island,2015,Shark,22
Sunshine Coast South & Bribie Island,2016,Shark,12
Sunshine Coast South & Bribie Island,2017,Shark,8
Townsville,2001,Shark,89
Townsville,2002,Shark,59
Townsville,2003,Shark,58
Townsville,2004,Shark,76
Townsville,2005,Shark,90
Townsville,2006,Shark,92
Townsville,2007,Shark,73
Townsville,2008,Shark,99
Townsville,2009,Shark,118
Townsville,2010,Shark,119
Townsville,2011,Shark,164
Townsville,2012,Shark,158
Townsville,2013,Shark,107
Townsville,2014,Shark,101
Townsville,2015,Shark,139
Townsville,2016,Shark,112
Townsville,2017,Shark,107
Townsville,2018,Shark,113
Townsville,2019,Shark,82
Townsville,2020,Shark,130
Townsville,2021,Shark,150
Townsville,2022,Shark,127
Townsville,2023,Shark,62